location_name,final_lat,final_long,source,country,state/province,county,city/town,ward,suburb/village,street,house number,postal code
Dziwe Health Centre,-15.5636317,34.8801879,Google,Malawi,Southern Region,Blantyre,Walkers Ferry,,,,,
Kambenje Health Centre,-15.8531,35.564,HDX,Malawi,Southern Region,Mulanje,,,,,,
Likangala Health Centre,-15.4278,35.5445,HDX,Malawi,Southern Region,Zomba,,,,,,
Lirangwe Health Centre,-15.5294855,35.0298033,Google,Malawi,Southern Region,Blantyre,Lirangwe School,,,,,
Madziabango Health Centre,-15.9676986,34.9087036,Manual,Malawi,Southern Region,Blantyre,Mpingo,,,,,
Makhwira Health Centre,-16.0253,34.7896,HDX,Malawi,Southern Region,Chikwawa,Chikwawa,,,,,
Makwapala Health Centre,-15.3693987,35.4507854,Google,Malawi,Southern Region,Zomba,,,,,,
Maperera Health Centre,-16.1054,34.9156,HDX,Malawi,Southern Region,Chikwawa,John Malindeni,,,,,
Matawale Health Centre,-15.3905357,35.3596116,Google,Malawi,Southern Region,Zomba,Zomba,,,,,
Matiya Health Centre,-15.5337271,35.5478841,Google,Malawi,Southern Region,Zomba,Chigumukile Trading Centre,,,,,
Mayaka Health Centre,-15.5737543,35.3726978,Google,Malawi,Southern Region,Zomba,Zomba,,,,,
Ngabu Rural Hospital,-16.4593976,34.8922516,Google,Malawi,Southern Region,Chikwawa,Masanduko,,,,,
Mkumaniza Health Centre,-16.4795267,34.7245369,Google,Malawi,Southern Region,Chikwawa,,,,,,
Pirimiti Hospital,-15.4817583,35.4504633,Google,Malawi,Southern Region,Zomba,Thondwe,,,,,
South Lunzu Health Centre,-15.7268364,35.0545985,Google,Malawi,Southern Region,Blantyre,Blantyre,,,,,
Machinga District Hospital,-15.0617267,35.226049,Google,Malawi,Southern Region,Machinga,Liwonde,,,,,
Chilipa Health Centre,-14.7028,34.9739,HDX,Malawi,Southern Region,Mangochi,Bitchilipa,,,,,
Chipoka Health Centre,-13.9895,34.5156,HDX,Malawi,Central Region,Salima,Chipoka,,,,,
Kapire Health Centre,-14.7857041,34.9994326,Google,Malawi,Southern Region,Balaka,Celemu,,,,,
Katema Health Centre,-14.5258287,35.0375358,Google,Malawi,Southern Region,Mangochi,Katema,,,,,
Katuli Health Centre,-14.1800078,35.4445725,Google,Malawi,Southern Region,Mangochi,Mterera,,,,,
Koche Health Centre,-14.3331596,35.143396,Google,Malawi,Southern Region,Mangochi,Nkopola,,,M10,,
Lifeline Health Centre,-14.0902,34.5448,HDX,Malawi,Central Region,Dedza,Mua,,,,,
Lugola Health Centre,-13.962129,35.1414284,Google,Malawi,Southern Region,Mangochi,Baquira,,,,,
Lulanga Health Centre,-13.6871846,34.9173041,Google,Malawi,Southern Region,Mangochi,Mirango,,,,,
Lungwena Health Centre,-14.2451342,35.2484252,Google,Malawi,Southern Region,Mangochi,Biti Kalanje,,,,,
Luwalika Health Centre,-14.2379315,35.4694501,Google,Malawi,Southern Region,Mangochi,mangochi,,,,,
Maganga Health Centre,-13.8467839,34.5592111,Google,Malawi,Central Region,Salima,,,,,,
